date,top10,top10_pctile_3y,top10_pctile_10y
20210519,0.59714,0.91358,0.951029
20210520,0.598046,0.914952,0.952263
20210521,0.608325,0.934156,0.961317
20210524,0.60699,0.930041,0.959671
20210525,0.628731,0.957476,0.976543
20210526,0.59798,0.909465,0.950617
20210527,0.582358,0.871056,0.931687
20210528,0.595948,0.903978,0.948148
20210531,0.591443,0.890261,0.941564
20210601,0.575537,0.839506,0.916461
20210602,0.564107,0.748971,0.879424
20210603,0.575987,0.839506,0.917284
20210604,0.59311,0.894376,0.943621
20210607,0.584232,0.875171,0.933333
20210608,0.592968,0.893004,0.942798
20210609,0.571556,0.798354,0.900412
20210610,0.573539,0.817558,0.90823
20210611,0.585186,0.876543,0.934568
20210615,0.584158,0.871056,0.932099
20210616,0.59751,0.906722,0.949383
20210617,0.600975,0.916324,0.953909
20210618,0.615894,0.938272,0.965432
20210621,0.594499,0.894376,0.944444
20210622,0.578744,0.840878,0.920988
20210623,0.595412,0.898491,0.946502
20210624,0.585894,0.872428,0.933745
20210625,0.610352,0.932785,0.961728
20210628,0.595465,0.897119,0.946091
20210629,0.593016,0.883402,0.940329
20210630,0.592112,0.877915,0.93786
20210701,0.590045,0.8738,0.935802
20210702,0.61332,0.934156,0.962963
20210705,0.615395,0.9369,0.964609
20210706,0.626769,0.953361,0.974486
20210707,0.619946,0.94513,0.969547
20210708,0.614941,0.931413,0.962963
20210709,0.617369,0.939643,0.967078
20210712,0.616526,0.9369,0.965432
20210713,0.599964,0.901235,0.948971
20210714,0.607141,0.916324,0.955556
20210715,0.606427,0.909465,0.953498
20210716,0.615616,0.931413,0.963374
20210719,0.60596,0.90535,0.951852
20210720,0.591522,0.858711,0.932099
20210721,0.615745,0.931413,0.963374
20210722,0.613126,0.921811,0.958848
20210723,0.599156,0.888889,0.944856
20210726,0.615467,0.928669,0.96214
20210727,0.635292,0.964335,0.980247
20210728,0.608367,0.91358,0.955144
20210729,0.626831,0.951989,0.974074
20210730,0.62049,0.942387,0.969547
20210802,0.624186,0.94513,0.972016
20210803,0.603975,0.893004,0.948148
20210804,0.615491,0.923182,0.960494
20210805,0.609735,0.908093,0.954321
20210806,0.619599,0.935528,0.966667
20210809,0.609651,0.90535,0.953498
20210810,0.612697,0.910837,0.955556
20210811,0.582645,0.809328,0.91358
20210812,0.591204,0.835391,0.925103
20210813,0.595147,0.854595,0.932922
20210816,0.582468,0.803841,0.911523
20210817,0.568389,0.714678,0.872428
20210818,0.597049,0.862826,0.935802
20210819,0.61464,0.914952,0.958025
20210820,0.621733,0.942387,0.969959
20210823,0.592724,0.836763,0.925926
20210824,0.601111,0.876543,0.941975
20210825,0.590432,0.825789,0.921811
20210826,0.579123,0.781893,0.903704
20210827,0.590882,0.825789,0.922222
20210830,0.607647,0.894376,0.948971
20210831,0.60262,0.879287,0.94321
20210901,0.61342,0.910837,0.955967
20210902,0.600027,0.868313,0.939095
20210903,0.590242,0.817558,0.919342
20210906,0.593427,0.835391,0.925926
20210907,0.582279,0.783265,0.90535
20210908,0.57373,0.737997,0.883951
20210909,0.568992,0.702332,0.867078
20210910,0.59303,0.832647,0.925103
20210913,0.598556,0.860082,0.935802
20210914,0.590234,0.812071,0.917695
20210915,0.597285,0.853224,0.932922
20210916,0.583975,0.790123,0.907819
20210917,0.592031,0.820302,0.920576
20210922,0.590363,0.8107,0.917284
20210923,0.582545,0.777778,0.904115
20210924,0.586586,0.798354,0.911934
20210927,0.585357,0.792867,0.909465
20210928,0.601736,0.875171,0.941975
20210929,0.593849,0.834019,0.925926
20210930,0.608571,0.898491,0.950617
20211008,0.599564,0.861454,0.937037
20211011,0.58941,0.798354,0.913169
20211012,0.583909,0.776406,0.903704
20211013,0.601622,0.872428,0.941152
20211014,0.590257,0.802469,0.914815
20211015,0.605279,0.879287,0.944033
20211018,0.618749,0.932785,0.965021
20211019,0.606214,0.880658,0.944856
20211020,0.609636,0.897119,0.951029
20211021,0.600757,0.858711,0.936626
20211022,0.604742,0.8738,0.942387
20211025,0.609664,0.898491,0.95144
20211026,0.612892,0.90535,0.953909
20211027,0.600846,0.855967,0.935802
20211028,0.611851,0.901235,0.952675
20211029,0.627543,0.953361,0.975309
20211101,0.616498,0.923182,0.961317
20211102,0.586327,0.775034,0.903704
20211103,0.604071,0.865569,0.939918
20211104,0.593231,0.809328,0.917284
20211105,0.5793,0.733882,0.887243
20211108,0.589002,0.777778,0.90535
20211109,0.578142,0.722908,0.882305
20211110,0.578463,0.722908,0.883128
20211111,0.563953,0.636488,0.834568
20211112,0.540933,0.458162,0.730453
20211115,0.527616,0.286694,0.639918
20211116,0.528349,0.301783,0.648148
20211117,0.533465,0.342936,0.673251
20211118,0.535735,0.381344,0.69177
20211119,0.546762,0.515775,0.764198
20211122,0.563131,0.628258,0.830453
