轮次,因子,分类,公式,含义,IC,IC_IR,Top组年化,市场年化,超额年化,回撤,Sharpe,Calmar,判定
Round3,corr_cp20,量价,"-corr(C,V,20)",价量相关性,0.0484,0.5693,0.0477,0.084,-0.0342,-0.3079,,-0.111,超额为负
Round3,vol_price_corr,量价,"-corr(V,C,20)",量价相关(成交量vs价格),0.0484,0.5693,0.0477,0.084,-0.0342,-0.3079,,-0.111,超额为负
Round3,ix_amt_mfxl,交叉,rank(amt_log20)*rank(mfxl20),小成交额 x 资金流,0.0291,0.2741,0.0643,0.095,-0.0345,-0.299,,-0.1155,超额为负
Round3,turn_amp,交叉,"-mean(TR,20)*mean((H-L)/C,20)",换手 x 振幅(反向),0.0685,0.4115,0.06,0.0903,-0.0356,-0.2923,,-0.122,超额为负
Round3,ix_amt_rev5,交叉,rank(amt_log20)*rank(rev_5d),小成交额 x 反转,0.0634,0.5337,0.045,0.0895,-0.042,-0.3522,,-0.1192,超额为负
Round3,mfnet10,其他,(见代码),mfnet10,0.0091,0.0986,0.0552,0.0948,-0.0441,-0.3511,,-0.1255,|IC|<0.02
Round3,mf_net10,资金流,"mean(MFN,10)",净流入占比(10日),0.0091,0.0986,0.0552,0.0948,-0.0441,-0.3511,,-0.1255,|IC|<0.02
Round3,amt_price_corr,量价,"-corr(AMT,C,20)",额价相关,0.0496,0.5452,0.0366,0.0821,-0.0446,-0.3717,,-0.1201,超额为负
Round3,mfnet5,资金流,"mean(MFN,5)",净流入(5日),0.0088,0.0937,0.0532,0.0946,-0.0454,-0.3513,,-0.1293,|IC|<0.02
Round3,mf_net20,资金流,"mean(MFN,20)",净流入占比(20日),0.0082,0.087,0.0526,0.095,-0.046,-0.3721,,-0.1236,|IC|<0.02
Round3,mfnet20,资金流,"mean(MFN,20)",净流入(20日),0.0082,0.087,0.0526,0.095,-0.046,-0.3721,,-0.1236,|IC|<0.02
Round3,mf_xl_vol,资金流,"-std(MFX,20)",资金流稳定性,0.0158,0.253,0.0344,0.095,-0.0533,-0.3983,,-0.1337,|IC|<0.02
Round3,mfxl_std20,资金流,"-std(MFX,20)",资金流稳定性,0.0158,0.253,0.0344,0.095,-0.0533,-0.3983,,-0.1337,|IC|<0.02
